Time,TIME_STAMP_s,TIME_STAMP_ms,OR_TIME_STAMP_s,OR_TIME_STAMP_ms,COUNTER_MEMS,INTERPOLATED_MEM,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY
3812.5000,3.0000,812.8000,3.0000,987.0000,12.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9337,0.2657,0.0663,-49.1667,-14.0000
3875.0000,3.0000,875.3000,4.0000,49.0000,13.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2695,0.0468,-49.5000,-14.6667
3937.5000,3.0000,937.8000,4.0000,111.0000,14.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9415,0.2657,0.0742,-50.0000,-14.3333
4000.0000,4.0000,0.3000,4.0000,174.0000,15.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9258,0.2695,0.0468,-50.3333,-14.0000
4062.5000,4.0000,62.8000,4.0000,236.0000,0.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9377,0.2578,0.0742,-50.5000,-13.6667
4125.0000,4.0000,125.3000,4.0000,299.0000,1.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9455,0.2540,0.0625,-49.8333,-13.3333
4187.5000,4.0000,187.8000,4.0000,361.0000,2.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2618,0.0625,-50.1667,-14.1667
4250.0000,4.0000,250.3000,4.0000,424.0000,3.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9337,0.2773,0.0587,-49.3333,-13.8333
4312.5000,4.0000,312.8000,4.0000,486.0000,4.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9455,0.2618,0.0587,-49.8333,-13.5000
4375.0000,4.0000,375.3000,4.0000,549.0000,5.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2695,0.0547,-50.1667,-13.1667
4437.5000,4.0000,437.9000,4.0000,612.0000,6.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9337,0.2657,0.0587,-50.5000,-13.0000
4500.0000,4.0000,500.4000,4.0000,674.0000,7.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9337,0.2695,0.0625,-50.8333,-13.8333
4562.5000,4.0000,562.9000,4.0000,737.0000,8.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2695,0.0625,-50.0000,-13.5000
4625.0000,4.0000,625.4000,4.0000,799.0000,9.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9258,0.2657,0.0547,-50.3333,-13.1667
4687.5000,4.0000,687.9000,4.0000,862.0000,10.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2735,0.0547,-50.6667,-14.0000
4750.0000,4.0000,750.4000,4.0000,924.0000,11.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9298,0.2657,0.0468,-50.8333,-13.6667
4812.5000,4.0000,812.9000,4.0000,987.0000,12.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9532,0.2578,0.0703,-51.1667,-13.3333
4875.0000,4.0000,875.4000,5.0000,49.0000,13.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9258,0.2695,0.0742,-51.3333,-13.1667
4937.5000,4.0000,937.9000,5.0000,112.0000,14.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9298,0.2813,0.0430,-50.5000,-13.8333
5000.0000,5.0000,0.4000,5.0000,174.0000,15.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2852,0.0625,-50.8333,-13.6667
5062.5000,5.0000,62.9000,5.0000,236.0000,0.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9377,0.2773,0.0663,-50.0000,-13.3333
5125.0000,5.0000,125.4000,5.0000,299.0000,1.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9377,0.2695,0.0587,-49.1667,-13.0000
5187.5000,5.0000,187.9000,5.0000,361.0000,2.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9258,0.2813,0.0663,-48.5000,-12.8333
5250.0000,5.0000,250.4000,5.0000,424.0000,3.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9455,0.2618,0.0430,-48.0000,-13.6667
5312.5000,5.0000,312.9000,5.0000,487.0000,4.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9337,0.2618,0.0625,-47.5000,-13.3333
5375.0000,5.0000,375.4000,5.0000,549.0000,5.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9455,0.2735,0.0468,-47.0000,-13.1667
5437.5000,5.0000,437.9000,5.0000,611.0000,6.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9377,0.2695,0.0625,-47.6667,-13.8333
5500.0000,5.0000,500.4000,5.0000,674.0000,7.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2695,0.0703,-48.1667,-13.6667
5562.5000,5.0000,563.0000,5.0000,736.0000,8.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2695,0.0547,-48.6667,-13.3333
5625.0000,5.0000,625.5000,5.0000,799.0000,9.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2813,0.0703,-49.1667,-13.0000
5687.5000,5.0000,688.0000,5.0000,861.0000,10.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2618,0.0625,-49.5000,-12.8333
5750.0000,5.0000,750.5000,5.0000,923.0000,11.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2578,0.0663,-48.8333,-12.5000
5812.5000,5.0000,813.0000,5.0000,986.0000,12.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2735,0.0587,-49.3333,-13.5000
5875.0000,5.0000,875.5000,6.0000,49.0000,13.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9455,0.2695,0.0547,-48.6667,-14.1667
5937.5000,5.0000,938.0000,6.0000,112.0000,14.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2695,0.0508,-49.1667,-13.8333
6000.0000,6.0000,0.5000,6.0000,175.0000,15.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2657,0.0742,-49.5000,-13.5000
6062.5000,6.0000,63.0000,6.0000,238.0000,0.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9377,0.2773,0.0663,-50.0000,-13.3333
6125.0000,6.0000,125.5000,6.0000,301.0000,1.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2735,0.0782,-50.3333,-14.0000
6187.5000,6.0000,188.0000,6.0000,364.0000,2.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9337,0.2657,0.0468,-50.5000,-13.6667
